,accommodation_id,accommodation_name,airbnb_account_id,accommodation_link,channel_name,local_status,publishment_status,alert,sync_alert,rejection_alert,warning_alert,review_count,review_value,cleanliness_value,location_value,truthfulness_value,checkin_value,communication_value
73,426236,SA201 (Barra),573192868,airbnb.com.br/rooms/1153009705241369235,airbnb,True,error,3,,True,,9,4,4.6,4.3,4.4,4.6,4.4
74,428944,EL108 (Zona3),1381764,airbnb.com.br/rooms/924692796711677869,airbnb,True,active,0,,False,,7,3.7,4.4,4.3,3.6,4.3,4
75,428946,SA508 (Barra),1381764,airbnb.com.br/rooms/933285714587318185,airbnb,True,active,0,,False,,17,4.5,4.6,4.5,4.7,4.4,4.4
76,437467,BRX1005 (Zona4),1381764,airbnb.com.br/rooms/965097864349139813,airbnb,True,active,2,,False,,47,4.5,4.8,4.8,4.6,4.7,4.5
77,438005,JC1012 (Zona2),573192868,airbnb.com.br/rooms/1153019735800985363,airbnb,True,active,0,,False,,26,4.7,4.8,4.9,4.8,5.0,4.8
78,438436,FMS601 (Zona3),1381764,airbnb.com.br/rooms/966005550791692373,airbnb,True,active,0,,False,,53,4.8,4.9,4.9,4.8,4.7,4.7
79,439304,VP501 (Zona1),1381764,airbnb.com.br/rooms/960157786518851748,airbnb,True,active,0,,False,,45,4.6,4.6,5.0,4.6,4.8,4.7
80,442294,DU705 (Zona2),592964680,airbnb.com.br/rooms/1323138052278250498,airbnb,True,active,0,,False,,8,4.5,4.5,4.9,4.5,4.8,4.9
81,442399,BR911 (Zona4),1381764,airbnb.com.br/rooms/1016701545155999194,airbnb,True,active,0,,False,,13,4.5,4.6,4.6,4.6,4.8,4.5
82,442400,NS1B (Zona1),1381764,airbnb.com.br/rooms/974015219855931471,airbnb,True,active,0,,False,,35,4.6,4.7,4.9,4.7,4.4,4.7
83,442401,NS101 (Zona1),592964680,airbnb.com.br/rooms/1305749544475787077,airbnb,True,active,1,,False,,17,4.2,4.5,4.4,4.1,4.2,4.7
84,442838,RP1003 (Zona3),N/A,N/A,airbnb,False,active,0,,False,,1,4,4,4,4,2,4
85,442840,NSC501B (Zona2),573192722,airbnb.com.br/rooms/1150791296395106669,airbnb,True,active,0,,False,,20,4.7,4.7,4.8,4.7,4.7,4.6
86,443182,PP101 (Barra),573192868,airbnb.com.br/rooms/1153034101381290130,airbnb,True,active,0,,False,,30,4.5,4.6,4.8,4.5,4.6,4.5
87,443183,PP102 (Barra),1381764,airbnb.com.br/rooms/1021635427628811739,airbnb,True,active,0,,False,,13,4.3,4.6,5,4.2,4.7,4.5
88,443330,MVC1103 (Zona4),1381764,airbnb.com.br/rooms/1026150158191546843,airbnb,True,active,0,,False,,23,4.4,4.9,4.9,4.6,4.7,4.5
89,443570,LM108 (Zona4),573192868,airbnb.com.br/rooms/1152983995700656528,airbnb,True,active,0,,False,,11,4.7,4.7,4.8,4.7,4.5,4.6
